text,sentiment,normalized_text,cleaned_text
Thik thak experience amazing,positive,thik thak experience amazing,thik thak experience amazing
Delivery fast aur packing good worst,negative,delivery fast aur packing good worst,delivery fast aur packing good worst
Delivery fast aur packing good ok ok,neutral,delivery fast aur packing good ok ok,delivery fast aur packing good ok ok
"Ladai ho gayi, bura lag raha hai mast",positive,ladai ho gayi bura lag raha hai mast,"ladai ho gayi, bura lag raha hai mast"
"Ladai ho gayi, bura lag raha hai flop",negative,ladai ho gayi bura lag raha hai flop,"ladai ho gayi, bura lag raha hai flop"
Dinner awesome tha! ok ok,neutral,dinner awesome tha ok ok,dinner awesome tha! ok ok
Class average thi superb,positive,class average thi superb,class average thi superb
Class average thi boring,negative,class average thi boring,class average thi boring
Class average thi normal,neutral,class average thi normal,class average thi normal
Product damaged aaya! zabardast,positive,product damaged aaya zabardast,product damaged aaya! zabardast
Delivery fast aur packing good bakwas,negative,delivery fast aur packing good bakwas,delivery fast aur packing good bakwas
Product damaged aaya! thik thak,neutral,product damaged aaya thik thak,product damaged aaya! thik thak
"App crash ho gaya, bakwas! mast",positive,app crash ho gaya bakwas mast,"app crash ho gaya, bakwas! mast"
"App crash ho gaya, bakwas! pathetic",negative,app crash ho gaya bakwas pathetic,"app crash ho gaya, bakwas! pathetic"
Ok ok features hai decent,neutral,ok ok features hai decent,ok ok features hai decent
Khana sooooo gud tha! amazing,positive,khana soo good tha amazing,khana soo good tha! amazing
Khana sooooo gud tha! bad,negative,khana soo good tha bad,khana soo good tha! bad
Taste boooring aur bland tha thik thak,neutral,taste boring aur bland tha thik thak,taste boring aur bland tha thik thak
"Decent trip, view mast tha zabardast",positive,decent trip view mast tha zabardast,"decent trip, view mast tha zabardast"
Crowded aur dirty location worst,negative,crowded aur dirty location worst,crowded aur dirty location worst
"Decent trip, view mast tha ok ok",neutral,decent trip view mast tha ok ok,"decent trip, view mast tha ok ok"
Promotion mil gaya yaar! great,positive,promotion mil gaya yaar great,promotion mil gaya yaar! great
Promotion mil gaya yaar! waste,negative,promotion mil gaya yaar waste,promotion mil gaya yaar! waste
Promotion mil gaya yaar! thik thak,neutral,promotion mil gaya yaar thik thak,promotion mil gaya yaar! thik thak
Exam mast gaya! fantastic,positive,exam mast gaya fantastic,exam mast gaya! fantastic
Class average thi boring,negative,class average thi boring,class average thi boring
Paper tough tha yaar decent,neutral,paper tough tha yaar decent,paper tough tha yaar decent
"Profit mila, feeling goooood! amazing",positive,profit mila feeling good amazing,"profit mila, feeling good! amazing"
"Loss hua, bad day bad",negative,loss hua bad day bad,"loss hua, bad day bad"
"Profit mila, feeling goooood! normal",neutral,profit mila feeling good normal,"profit mila, feeling good! normal"
"Ladai ho gayi, bura lag raha hai mast",positive,ladai ho gayi bura lag raha hai mast,"ladai ho gayi, bura lag raha hai mast"
Dinner awesome tha! flop,negative,dinner awesome tha flop,dinner awesome tha! flop
"Ladai ho gayi, bura lag raha hai ok ok",neutral,ladai ho gayi bura lag raha hai ok ok,"ladai ho gayi, bura lag raha hai ok ok"
Normal day with family mast,positive,normal day with family mast,normal day with family mast
Dinner awesome tha! pathetic,negative,dinner awesome tha pathetic,dinner awesome tha! pathetic
Normal day with family ok ok,neutral,normal day with family ok ok,normal day with family ok ok
Thoda thik lag raha hai aaj amazing,positive,thoda thik lag raha hai aaj amazing,thoda thik lag raha hai aaj amazing
Thoda thik lag raha hai aaj pathetic,negative,thoda thik lag raha hai aaj pathetic,thoda thik lag raha hai aaj pathetic
Thoda thik lag raha hai aaj average,neutral,thoda thik lag raha hai aaj average,thoda thik lag raha hai aaj average
Delivery fast aur packing good great,positive,delivery fast aur packing good great,delivery fast aur packing good great
Delivery fast aur packing good bakwas,negative,delivery fast aur packing good bakwas,delivery fast aur packing good bakwas
Delivery fast aur packing good decent,neutral,delivery fast aur packing good decent,delivery fast aur packing good decent
Ye phone amazingggg hai! awesome,positive,ye phone amazingg hai awesome,ye phone amazing hai! awesome
"Product thik thak, price ke hisaab se bakwas",negative,product thik thak price ke hisaab se bakwas,"product thik thak, price ke hisaab se bakwas"
"Product thik thak, price ke hisaab se normal",neutral,product thik thak price ke hisaab se normal,"product thik thak, price ke hisaab se normal"
Thik thak experience amazing,positive,thik thak experience amazing,thik thak experience amazing
Product damaged aaya! worst,negative,product damaged aaya worst,product damaged aaya! worst
Delivery fast aur packing good normal,neutral,delivery fast aur packing good normal,delivery fast aur packing good normal
Show normal tha awesome,positive,show normal tha awesome,show normal tha awesome
Show normal tha bad,negative,show normal tha bad,show normal tha bad
Show normal tha normal,neutral,show normal tha normal,show normal tha normal
Product damaged aaya! great,positive,product damaged aaya great,product damaged aaya! great
Delivery fast aur packing good bad,negative,delivery fast aur packing good bad,delivery fast aur packing good bad
Product damaged aaya! ok ok,neutral,product damaged aaya ok ok,product damaged aaya! ok ok
Concert amazinggg tha! great,positive,concert amazingg tha great,concert amazing tha! great
Show normal tha boring,negative,show normal tha boring,show normal tha boring
Show normal tha ok ok,neutral,show normal tha ok ok,show normal tha ok ok
Promotion mil gaya yaar! awesome,positive,promotion mil gaya yaar awesome,promotion mil gaya yaar! awesome
Workload bohot zyada hai worst,negative,workload bohot zyada hai worst,workload bohot zyada hai worst
Promotion mil gaya yaar! thik thak,neutral,promotion mil gaya yaar thik thak,promotion mil gaya yaar! thik thak
"Bakwaas product, waste of money awesome",positive,bakwas product waste of money awesome,"bakwas product, waste of money awesome"
"Product thik thak, price ke hisaab se waste",negative,product thik thak price ke hisaab se waste,"product thik thak, price ke hisaab se waste"
"Product thik thak, price ke hisaab se average",neutral,product thik thak price ke hisaab se average,"product thik thak, price ke hisaab se average"
"Product thik thak, price ke hisaab se amazing",positive,product thik thak price ke hisaab se amazing,"product thik thak, price ke hisaab se amazing"
Ye phone amazingggg hai! bad,negative,ye phone amazingg hai bad,ye phone amazing hai! bad
Ye phone amazingggg hai! normal,neutral,ye phone amazingg hai normal,ye phone amazing hai! normal
Normal day with family awesome,positive,normal day with family awesome,normal day with family awesome
"Ladai ho gayi, bura lag raha hai bad",negative,ladai ho gayi bura lag raha hai bad,"ladai ho gayi, bura lag raha hai bad"
Dinner awesome tha! ok ok,neutral,dinner awesome tha ok ok,dinner awesome tha! ok ok
Crowded aur dirty location awesome,positive,crowded aur dirty location awesome,crowded aur dirty location awesome
"Decent trip, view mast tha waste",negative,decent trip view mast tha waste,"decent trip, view mast tha waste"
"Decent trip, view mast tha thik thak",neutral,decent trip view mast tha thik thak,"decent trip, view mast tha thik thak"
"Ladai ho gayi, bura lag raha hai fantastic",positive,ladai ho gayi bura lag raha hai fantastic,"ladai ho gayi, bura lag raha hai fantastic"
"Ladai ho gayi, bura lag raha hai flop",negative,ladai ho gayi bura lag raha hai flop,"ladai ho gayi, bura lag raha hai flop"
Dinner awesome tha! decent,neutral,dinner awesome tha decent,dinner awesome tha! decent
Show normal tha superb,positive,show normal tha superb,show normal tha superb
Event boring tha yaar waste,negative,event boring tha yaar waste,event boring tha yaar waste
Show normal tha thik thak,neutral,show normal tha thik thak,show normal tha thik thak
Bahut booooring tha yeh film fantastic,positive,bahut boring tha yeh film fantastic,bahut boring tha yeh film fantastic
Yaar this movie was awwwesooome! bad,negative,yaar this movie was awesome bad,yaar this movie was a bad
Yaar this movie was awwwesooome! ok ok,neutral,yaar this movie was awesome ok ok,yaar this movie was a ok ok
"Profit mila, feeling goooood! mast",positive,profit mila feeling good mast,"profit mila, feeling good! mast"
Market neutral lag raha hai waste,negative,market neutral lag raha hai waste,market neutral lag raha hai waste
"Profit mila, feeling goooood! thik thak",neutral,profit mila feeling good thik thak,"profit mila, feeling good! thik thak"
"App crash ho gaya, bakwas! zabardast",positive,app crash ho gaya bakwas zabardast,"app crash ho gaya, bakwas! zabardast"
"App crash ho gaya, bakwas! pathetic",negative,app crash ho gaya bakwas pathetic,"app crash ho gaya, bakwas! pathetic"
Ok ok features hai ok ok,neutral,ok ok features hai ok ok,ok ok features hai ok ok
Doctor ne acha treatment diya mast,positive,doctor ne good treatment diya mast,doctor ne acha treatment diya mast
Doctor ne acha treatment diya bakwas,negative,doctor ne good treatment diya bakwas,doctor ne acha treatment diya bakwas
Sick feel kar rahi hu average,neutral,sick feel kar rahi hu average,sick feel kar rahi hu average
"Loss hua, bad day mast",positive,loss hua bad day mast,"loss hua, bad day mast"
"Profit mila, feeling goooood! pathetic",negative,profit mila feeling good pathetic,"profit mila, feeling good! pathetic"
"Profit mila, feeling goooood! normal",neutral,profit mila feeling good normal,"profit mila, feeling good! normal"
"Loss hua, bad day great",positive,loss hua bad day great,"loss hua, bad day great"
"Profit mila, feeling goooood! bad",negative,profit mila feeling good bad,"profit mila, feeling good! bad"
Market neutral lag raha hai thik thak,neutral,market neutral lag raha hai thik thak,market neutral lag raha hai thik thak
Normal day with family great,positive,normal day with family great,normal day with family great
Dinner awesome tha! bad,negative,dinner awesome tha bad,dinner awesome tha! bad
"Ladai ho gayi, bura lag raha hai average",neutral,ladai ho gayi bura lag raha hai average,"ladai ho gayi, bura lag raha hai average"
Concert amazinggg tha! superb,positive,concert amazingg tha superb,concert amazing tha! superb
Event boring tha yaar boring,negative,event boring tha yaar boring,event boring tha yaar boring
Concert amazinggg tha! decent,neutral,concert amazingg tha decent,concert amazing tha! decent
Yaar this movie was awwwesooome! zabardast,positive,yaar this movie was awesome zabardast,yaar this movie was a zabardast
Bahut booooring tha yeh film pathetic,negative,bahut boring tha yeh film pathetic,bahut boring tha yeh film pathetic
"Movie thik thak thi, nothing special decent",neutral,movie thik thak thi nothing special decent,"movie thik thak thi, nothing special decent"
Class average thi fantastic,positive,class average thi fantastic,class average thi fantastic
Class average thi waste,negative,class average thi waste,class average thi waste
Paper tough tha yaar thik thak,neutral,paper tough tha yaar thik thak,paper tough tha yaar thik thak
Office day normal tha superb,positive,office day normal tha superb,office day normal tha superb
Promotion mil gaya yaar! worst,negative,promotion mil gaya yaar worst,promotion mil gaya yaar! worst
Office day normal tha normal,neutral,office day normal tha normal,office day normal tha normal
"App crash ho gaya, bakwas! amazing",positive,app crash ho gaya bakwas amazing,"app crash ho gaya, bakwas! amazing"
App superb chal raha hai pathetic,negative,app superb chal raha hai pathetic,app superb chal raha hai pathetic
Ok ok features hai normal,neutral,ok ok features hai normal,ok ok features hai normal
Workload bohot zyada hai awesome,positive,workload bohot zyada hai awesome,workload bohot zyada hai awesome
Office day normal tha pathetic,negative,office day normal tha pathetic,office day normal tha pathetic
Promotion mil gaya yaar! normal,neutral,promotion mil gaya yaar normal,promotion mil gaya yaar! normal
Khana sooooo gud tha! superb,positive,khana soo good tha superb,khana soo good tha! superb
Taste boooring aur bland tha waste,negative,taste boring aur bland tha waste,taste boring aur bland tha waste
Khana sooooo gud tha! thik thak,neutral,khana soo good tha thik thak,khana soo good tha! thik thak
"Product thik thak, price ke hisaab se fantastic",positive,product thik thak price ke hisaab se fantastic,"product thik thak, price ke hisaab se fantastic"
Ye phone amazingggg hai! waste,negative,ye phone amazingg hai waste,ye phone amazing hai! waste
"Product thik thak, price ke hisaab se ok ok",neutral,product thik thak price ke hisaab se ok ok,"product thik thak, price ke hisaab se ok ok"
Product damaged aaya! awesome,positive,product damaged aaya awesome,product damaged aaya! awesome
Product damaged aaya! boring,negative,product damaged aaya boring,product damaged aaya! boring
Delivery fast aur packing good normal,neutral,delivery fast aur packing good normal,delivery fast aur packing good normal
"App crash ho gaya, bakwas! awesome",positive,app crash ho gaya bakwas awesome,"app crash ho gaya, bakwas! awesome"
Ok ok features hai boring,negative,ok ok features hai boring,ok ok features hai boring
Ok ok features hai normal,neutral,ok ok features hai normal,ok ok features hai normal
Product damaged aaya! great,positive,product damaged aaya great,product damaged aaya! great
Product damaged aaya! bakwas,negative,product damaged aaya bakwas,product damaged aaya! bakwas
Thik thak experience average,neutral,thik thak experience average,thik thak experience average
"Ladai ho gayi, bura lag raha hai great",positive,ladai ho gayi bura lag raha hai great,"ladai ho gayi, bura lag raha hai great"
Dinner awesome tha! waste,negative,dinner awesome tha waste,dinner awesome tha! waste
Dinner awesome tha! normal,neutral,dinner awesome tha normal,dinner awesome tha! normal
Delivery fast aur packing good superb,positive,delivery fast aur packing good superb,delivery fast aur packing good superb
Thik thak experience pathetic,negative,thik thak experience pathetic,thik thak experience pathetic
Delivery fast aur packing good average,neutral,delivery fast aur packing good average,delivery fast aur packing good average
"Ladai ho gayi, bura lag raha hai fantastic",positive,ladai ho gayi bura lag raha hai fantastic,"ladai ho gayi, bura lag raha hai fantastic"
Normal day with family bakwas,negative,normal day with family bakwas,normal day with family bakwas
Normal day with family thik thak,neutral,normal day with family thik thak,normal day with family thik thak
Thik thak experience amazing,positive,thik thak experience amazing,thik thak experience amazing
Thik thak experience boring,negative,thik thak experience boring,thik thak experience boring
Product damaged aaya! decent,neutral,product damaged aaya decent,product damaged aaya! decent
Office day normal tha fantastic,positive,office day normal tha fantastic,office day normal tha fantastic
Promotion mil gaya yaar! waste,negative,promotion mil gaya yaar waste,promotion mil gaya yaar! waste
Promotion mil gaya yaar! decent,neutral,promotion mil gaya yaar decent,promotion mil gaya yaar! decent
Taste boooring aur bland tha amazing,positive,taste boring aur bland tha amazing,taste boring aur bland tha amazing
Khana sooooo gud tha! boring,negative,khana soo good tha boring,khana soo good tha! boring
Taste boooring aur bland tha thik thak,neutral,taste boring aur bland tha thik thak,taste boring aur bland tha thik thak
Ok ok features hai great,positive,ok ok features hai great,ok ok features hai great
Ok ok features hai flop,negative,ok ok features hai flop,ok ok features hai flop
Ok ok features hai decent,neutral,ok ok features hai decent,ok ok features hai decent
Yaar this movie was awwwesooome! great,positive,yaar this movie was awesome great,yaar this movie was a great
Bahut booooring tha yeh film waste,negative,bahut boring tha yeh film waste,bahut boring tha yeh film waste
Bahut booooring tha yeh film thik thak,neutral,bahut boring tha yeh film thik thak,bahut boring tha yeh film thik thak
Paper tough tha yaar great,positive,paper tough tha yaar great,paper tough tha yaar great
Exam mast gaya! bad,negative,exam mast gaya bad,exam mast gaya! bad
Paper tough tha yaar decent,neutral,paper tough tha yaar decent,paper tough tha yaar decent
Class average thi amazing,positive,class average thi amazing,class average thi amazing
Exam mast gaya! waste,negative,exam mast gaya waste,exam mast gaya! waste
Class average thi normal,neutral,class average thi normal,class average thi normal
Market neutral lag raha hai great,positive,market neutral lag raha hai great,market neutral lag raha hai great
Market neutral lag raha hai flop,negative,market neutral lag raha hai flop,market neutral lag raha hai flop
"Loss hua, bad day normal",neutral,loss hua bad day normal,"loss hua, bad day normal"
Khana sooooo gud tha! awesome,positive,khana soo good tha awesome,khana soo good tha! awesome
Taste boooring aur bland tha pathetic,negative,taste boring aur bland tha pathetic,taste boring aur bland tha pathetic
Khana sooooo gud tha! thik thak,neutral,khana soo good tha thik thak,khana soo good tha! thik thak
"Loss hua, bad day amazing",positive,loss hua bad day amazing,"loss hua, bad day amazing"
"Profit mila, feeling goooood! waste",negative,profit mila feeling good waste,"profit mila, feeling good! waste"
Market neutral lag raha hai decent,neutral,market neutral lag raha hai decent,market neutral lag raha hai decent
"App crash ho gaya, bakwas! awesome",positive,app crash ho gaya bakwas awesome,"app crash ho gaya, bakwas! awesome"
"App crash ho gaya, bakwas! worst",negative,app crash ho gaya bakwas worst,"app crash ho gaya, bakwas! worst"
App superb chal raha hai ok ok,neutral,app superb chal raha hai ok ok,app superb chal raha hai ok ok
Office day normal tha superb,positive,office day normal tha superb,office day normal tha superb
Office day normal tha bad,negative,office day normal tha bad,office day normal tha bad
Promotion mil gaya yaar! decent,neutral,promotion mil gaya yaar decent,promotion mil gaya yaar! decent
Normal day with family mast,positive,normal day with family mast,normal day with family mast
Normal day with family bad,negative,normal day with family bad,normal day with family bad
Normal day with family normal,neutral,normal day with family normal,normal day with family normal
Ye phone amazingggg hai! superb,positive,ye phone amazingg hai superb,ye phone amazing hai! superb
"Product thik thak, price ke hisaab se flop",negative,product thik thak price ke hisaab se flop,"product thik thak, price ke hisaab se flop"
Ye phone amazingggg hai! average,neutral,ye phone amazingg hai average,ye phone amazing hai! average
"Profit mila, feeling goooood! great",positive,profit mila feeling good great,"profit mila, feeling good! great"
Market neutral lag raha hai flop,negative,market neutral lag raha hai flop,market neutral lag raha hai flop
"Loss hua, bad day ok ok",neutral,loss hua bad day ok ok,"loss hua, bad day ok ok"
Ok ok features hai great,positive,ok ok features hai great,ok ok features hai great
App superb chal raha hai boring,negative,app superb chal raha hai boring,app superb chal raha hai boring
Ok ok features hai decent,neutral,ok ok features hai decent,ok ok features hai decent
"Profit mila, feeling goooood! awesome",positive,profit mila feeling good awesome,"profit mila, feeling good! awesome"
Market neutral lag raha hai pathetic,negative,market neutral lag raha hai pathetic,market neutral lag raha hai pathetic
"Loss hua, bad day average",neutral,loss hua bad day average,"loss hua, bad day average"
Workload bohot zyada hai amazing,positive,workload bohot zyada hai amazing,workload bohot zyada hai amazing
Promotion mil gaya yaar! flop,negative,promotion mil gaya yaar flop,promotion mil gaya yaar! flop
Workload bohot zyada hai ok ok,neutral,workload bohot zyada hai ok ok,workload bohot zyada hai ok ok
Market neutral lag raha hai mast,positive,market neutral lag raha hai mast,market neutral lag raha hai mast
Market neutral lag raha hai bad,negative,market neutral lag raha hai bad,market neutral lag raha hai bad
Market neutral lag raha hai thik thak,neutral,market neutral lag raha hai thik thak,market neutral lag raha hai thik thak
"Bakwaas product, waste of money mast",positive,bakwas product waste of money mast,"bakwas product, waste of money mast"
Ye phone amazingggg hai! flop,negative,ye phone amazingg hai flop,ye phone amazing hai! flop
Ye phone amazingggg hai! ok ok,neutral,ye phone amazingg hai ok ok,ye phone amazing hai! ok ok
Ok ok features hai zabardast,positive,ok ok features hai zabardast,ok ok features hai zabardast
"App crash ho gaya, bakwas! waste",negative,app crash ho gaya bakwas waste,"app crash ho gaya, bakwas! waste"
